Instance,Algorithms,Num_Runs,All_OFVs...,Best_OFV,Average_OFV,Best_Time,Total_Time
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,2,0.160664|0.157113,0.157113,0.158889,4.001,4.001
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,5,20.400000|20.400000|20.400000|20.400000|20.400000,20.400000,20.400000,4.005,4.002
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,10,20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000,20.400000,20.400000,2.003,2.001
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,10,20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000|20.400000,20.400000,20.400000,4.001,4.002
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,10,0.168634|0.000082|0.158628|0.158106|0.172050|0.042305|0.165165|0.169380|0.157544|0.068833,0.000082,0.126073,2.001,2.010
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,10,0.172283|0.161844|0.164344|0.164920|0.163920|0.169390|0.166486|0.000114|0.166152|0.119036,0.000114,0.144849,4.001,4.003
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,5,0.081726|0.082957|0.079583|0.079940|0.081482,0.079583,0.081138,2.001,2.001
../instances/kp/kp10.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,100,-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000|-31.000000,-31.000000,-31.000000,3.002,3.002
../instances/tourist/I1.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,100,0.088917|0.082132|0.079223|0.080369|0.086356|0.085882|0.000090|0.088764|0.082915|0.078434|0.057212|0.091089|0.000108|0.085160|0.094379|0.090788|0.000128|0.076157|0.000322|0.084226|0.075921|0.082400|0.083930|0.084314|0.078199|0.074463|0.080374|0.000022|0.085005|0.093902|0.049275|0.078536|0.080235|0.075103|0.076123|0.085494|0.000998|0.090624|0.076804|0.080097|0.079341|0.084188|0.083409|0.053868|0.000234|0.083312|0.086039|0.080328|0.078792|0.079827|0.082109|0.075533|0.103518|0.083315|0.067643|0.000127|0.055909|0.086369|0.072538|0.081054|0.000025|0.085508|0.000072|0.089417|0.079930|0.071322|0.000025|0.091457|0.084090|0.000051|0.075346|0.074457|0.000159|0.083452|0.089239|0.005058|0.086084|0.079503|0.078261|0.090193|0.001558|0.072291|0.000121|0.088773|0.080486|0.068130|0.082204|0.084764|0.076305|0.098441|0.089271|0.087115|0.089100|0.000057|0.093486|0.085969|0.083286|0.056703|0.087208|0.085804,0.000022,0.067566,2.001,2.005
../instances/vrp/vrp_6_2.txt,SA | ILS | VNS | BRKGA | BRKGA-CS | PSO | GA | LNS | GRASP | IPR,100,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000,0.000000,2.001,2.003
